"","from","to","type","subtype"
"2","hsa:6448","hsa:138050","ECrel","compound"
"21","hsa:60495","hsa:3423","ECrel","compound"
"3","hsa:10855","hsa:3423","ECrel","compound"
"5","hsa:2799","hsa:3074","ECrel","compound"
"6","hsa:2799","hsa:2720","ECrel","compound"
"7","hsa:3423","hsa:3425","ECrel","compound"
"8","hsa:2588","hsa:2720","ECrel","compound"
"9","hsa:3425","hsa:411","ECrel","compound"
"10","hsa:3425","hsa:23553","ECrel","compound"
"11","hsa:3425","hsa:3373","ECrel","compound"
"12","hsa:3425","hsa:6677","ECrel","compound"
"13","hsa:3425","hsa:8372","ECrel","compound"
"14","hsa:3425","hsa:8692","ECrel","compound"
"15","hsa:3425","hsa:6448","ECrel","compound"
"16","hsa:411","hsa:23553","ECrel","compound"
"17","hsa:411","hsa:3373","ECrel","compound"
"18","hsa:411","hsa:6677","ECrel","compound"
"19","hsa:411","hsa:8372","ECrel","compound"
"20","hsa:411","hsa:8692","ECrel","compound"
"22","hsa:2720","hsa:3074","ECrel","compound"
"23","hsa:23553","hsa:2990","ECrel","compound"
"24","hsa:3373","hsa:2990","ECrel","compound"
"25","hsa:6677","hsa:2990","ECrel","compound"
"26","hsa:8372","hsa:2990","ECrel","compound"
"27","hsa:8692","hsa:2990","ECrel","compound"
"28","hsa:138050","hsa:4669","ECrel","compound"
"29","hsa:2990","hsa:2799","ECrel","compound"
