"","from","to","type","subtype"
"4","hsa:2534","hsa:9846","PPrel","activation"
"5","hsa:2534","hsa:9846","PPrel","phosphorylation"
"6","hsa:5609","hsa:5599","PPrel","activation"
"7","hsa:5609","hsa:5601","PPrel","activation"
"8","hsa:5609","hsa:5602","PPrel","activation"
"9","hsa:6416","hsa:5599","PPrel","activation"
"10","hsa:6416","hsa:5601","PPrel","activation"
"11","hsa:6416","hsa:5602","PPrel","activation"
"12","hsa:5606","hsa:1432","PPrel","activation"
"13","hsa:5606","hsa:5600","PPrel","activation"
"14","hsa:5606","hsa:5603","PPrel","activation"
"15","hsa:5606","hsa:6300","PPrel","activation"
"16","hsa:5608","hsa:1432","PPrel","activation"
"17","hsa:5608","hsa:5600","PPrel","activation"
"18","hsa:5608","hsa:5603","PPrel","activation"
"19","hsa:5608","hsa:6300","PPrel","activation"
"20","hsa:5170","hsa:10000","PPrel","activation"
"21","hsa:5170","hsa:207","PPrel","activation"
"22","hsa:5170","hsa:208","PPrel","activation"
"23","hsa:5290","hsa:695","ECrel","compound"
"24","hsa:5290","hsa:5335","ECrel","compound"
"25","hsa:5290","hsa:5336","ECrel","compound"
"26","hsa:5290","hsa:5170","PPrel","activation"
"27","hsa:5290","hsa:5879","PPrel","activation"
"29","hsa:5290","hsa:5881","PPrel","activation"
"30","hsa:5291","hsa:695","ECrel","compound"
"31","hsa:5291","hsa:5335","ECrel","compound"
"32","hsa:5291","hsa:5336","ECrel","compound"
"33","hsa:5291","hsa:5170","PPrel","activation"
"34","hsa:5291","hsa:5879","PPrel","activation"
"36","hsa:5291","hsa:5881","PPrel","activation"
"37","hsa:5293","hsa:695","ECrel","compound"
"38","hsa:5293","hsa:5335","ECrel","compound"
"39","hsa:5293","hsa:5336","ECrel","compound"
"40","hsa:5293","hsa:5170","PPrel","activation"
"41","hsa:5293","hsa:5879","PPrel","activation"
"43","hsa:5293","hsa:5881","PPrel","activation"
"44","hsa:5295","hsa:695","ECrel","compound"
"45","hsa:5295","hsa:5335","ECrel","compound"
"46","hsa:5295","hsa:5336","ECrel","compound"
"47","hsa:5295","hsa:5170","PPrel","activation"
"48","hsa:5295","hsa:5879","PPrel","activation"
"50","hsa:5295","hsa:5881","PPrel","activation"
"51","hsa:5296","hsa:695","ECrel","compound"
"52","hsa:5296","hsa:5335","ECrel","compound"
"53","hsa:5296","hsa:5336","ECrel","compound"
"54","hsa:5296","hsa:5170","PPrel","activation"
"55","hsa:5296","hsa:5879","PPrel","activation"
"57","hsa:5296","hsa:5881","PPrel","activation"
"58","hsa:8503","hsa:695","ECrel","compound"
"59","hsa:8503","hsa:5335","ECrel","compound"
"60","hsa:8503","hsa:5336","ECrel","compound"
"61","hsa:8503","hsa:5170","PPrel","activation"
"62","hsa:8503","hsa:5879","PPrel","activation"
"64","hsa:8503","hsa:5881","PPrel","activation"
"65","hsa:9846","hsa:5290","PPrel","activation"
"66","hsa:9846","hsa:5291","PPrel","activation"
"67","hsa:9846","hsa:5293","PPrel","activation"
"68","hsa:9846","hsa:5295","PPrel","activation"
"69","hsa:9846","hsa:5296","PPrel","activation"
"70","hsa:9846","hsa:8503","PPrel","activation"
"71","hsa:3937","hsa:5335","PPrel","activation"
"72","hsa:3937","hsa:5336","PPrel","activation"
"73","hsa:3937","hsa:10451","PPrel","activation"
"74","hsa:3937","hsa:7409","PPrel","activation"
"76","hsa:695","hsa:5335","PPrel","activation"
"77","hsa:695","hsa:5335","PPrel","phosphorylation"
"78","hsa:695","hsa:5336","PPrel","activation"
"79","hsa:695","hsa:5336","PPrel","phosphorylation"
"80","hsa:6850","hsa:5335","PPrel","activation"
"81","hsa:6850","hsa:5335","PPrel","phosphorylation"
"82","hsa:6850","hsa:5336","PPrel","activation"
"83","hsa:6850","hsa:5336","PPrel","phosphorylation"
"84","hsa:6850","hsa:5290","PPrel","activation"
"85","hsa:6850","hsa:5290","PPrel","phosphorylation"
"86","hsa:6850","hsa:5291","PPrel","activation"
"87","hsa:6850","hsa:5291","PPrel","phosphorylation"
"88","hsa:6850","hsa:5293","PPrel","activation"
"89","hsa:6850","hsa:5293","PPrel","phosphorylation"
"90","hsa:6850","hsa:5295","PPrel","activation"
"91","hsa:6850","hsa:5295","PPrel","phosphorylation"
"92","hsa:6850","hsa:5296","PPrel","activation"
"93","hsa:6850","hsa:5296","PPrel","phosphorylation"
"94","hsa:6850","hsa:8503","PPrel","activation"
"95","hsa:6850","hsa:8503","PPrel","phosphorylation"
"96","hsa:6850","hsa:3937","PPrel","activation"
"97","hsa:6850","hsa:3937","PPrel","phosphorylation"
"98","hsa:6850","hsa:10451","PPrel","activation"
"99","hsa:6850","hsa:10451","PPrel","phosphorylation"
"100","hsa:6850","hsa:7409","PPrel","activation"
"101","hsa:6850","hsa:7409","PPrel","phosphorylation"
"106","hsa:6850","hsa:9846","PPrel","activation"
"107","hsa:6850","hsa:2207","PPrel","binding/association"
"108","hsa:4067","hsa:2206","PPrel","activation"
"109","hsa:4067","hsa:2206","PPrel","phosphorylation"
"110","hsa:4067","hsa:2207","PPrel","activation"
"111","hsa:4067","hsa:2207","PPrel","phosphorylation"
"112","hsa:4067","hsa:695","PPrel","activation"
"113","hsa:4067","hsa:695","PPrel","phosphorylation"
"114","hsa:4067","hsa:6850","PPrel","activation"
"115","hsa:4067","hsa:6850","PPrel","phosphorylation"
"116","hsa:4067","hsa:2534","PPrel","inhibition"
"118","hsa:5335","hsa:5578","ECrel","compound"
"119","hsa:5336","hsa:5578","ECrel","compound"
"121","hsa:5594","hsa:123745","PPrel","activation"
"122","hsa:5594","hsa:255189","PPrel","activation"
"123","hsa:5594","hsa:283748","PPrel","activation"
"124","hsa:5594","hsa:5321","PPrel","activation"
"125","hsa:5594","hsa:8605","PPrel","activation"
"128","hsa:5595","hsa:123745","PPrel","activation"
"129","hsa:5595","hsa:255189","PPrel","activation"
"130","hsa:5595","hsa:283748","PPrel","activation"
"131","hsa:5595","hsa:5321","PPrel","activation"
"132","hsa:5595","hsa:8605","PPrel","activation"
"134","hsa:5604","hsa:5594","PPrel","activation"
"135","hsa:5604","hsa:5594","PPrel","phosphorylation"
"136","hsa:5604","hsa:5595","PPrel","activation"
"137","hsa:5604","hsa:5595","PPrel","phosphorylation"
"138","hsa:5605","hsa:5594","PPrel","activation"
"139","hsa:5605","hsa:5594","PPrel","phosphorylation"
"140","hsa:5605","hsa:5595","PPrel","activation"
"141","hsa:5605","hsa:5595","PPrel","phosphorylation"
"142","hsa:5894","hsa:5604","PPrel","activation"
"143","hsa:5894","hsa:5605","PPrel","activation"
"144","hsa:3265","hsa:5894","PPrel","activation"
"145","hsa:3845","hsa:5894","PPrel","activation"
"146","hsa:4893","hsa:5894","PPrel","activation"
"147","hsa:6654","hsa:3265","PPrel","activation"
"148","hsa:6654","hsa:3845","PPrel","activation"
"149","hsa:6654","hsa:4893","PPrel","activation"
"150","hsa:6655","hsa:3265","PPrel","activation"
"151","hsa:6655","hsa:3845","PPrel","activation"
"152","hsa:6655","hsa:4893","PPrel","activation"
"153","hsa:2885","hsa:6654","PPrel","activation"
"154","hsa:2885","hsa:6655","PPrel","activation"
"155","hsa:5879","hsa:5609","PPrel","activation"
"156","hsa:5879","hsa:6416","PPrel","activation"
"157","hsa:5879","hsa:5606","PPrel","activation"
"158","hsa:5879","hsa:5608","PPrel","activation"
"163","hsa:5881","hsa:5609","PPrel","activation"
"164","hsa:5881","hsa:6416","PPrel","activation"
"165","hsa:5881","hsa:5606","PPrel","activation"
"166","hsa:5881","hsa:5608","PPrel","activation"
"167","hsa:10451","hsa:5879","PPrel","activation"
"169","hsa:10451","hsa:5881","PPrel","activation"
"170","hsa:7409","hsa:5879","PPrel","activation"
"172","hsa:7409","hsa:5881","PPrel","activation"
