"","from","to","type","subtype"
"2","hsa:10282","hsa:9554","PPrel","activation"
"3","hsa:10282","hsa:6811","PPrel","activation"
"4","hsa:51272","hsa:9554","PPrel","activation"
"6","hsa:51272","hsa:6811","PPrel","activation"
"7","hsa:10652","hsa:10490","PPrel","activation"
"8","hsa:10652","hsa:143187","PPrel","activation"
"9","hsa:10652","hsa:9482","PPrel","activation"
"10","hsa:10652","hsa:8417","PPrel","activation"
"11","hsa:9554","hsa:662","PPrel","activation"
"12","hsa:9554","hsa:55850","PPrel","activation"
"13","hsa:9554","hsa:53407","PPrel","activation"
"14","hsa:8674","hsa:8773","PPrel","activation"
"15","hsa:8674","hsa:112755","PPrel","activation"
"16","hsa:8674","hsa:2054","PPrel","activation"
"17","hsa:8674","hsa:6804","PPrel","activation"
"18","hsa:8674","hsa:6809","PPrel","activation"
"19","hsa:8674","hsa:6810","PPrel","activation"
"21","hsa:8674","hsa:10228","PPrel","activation"
"22","hsa:8674","hsa:10490","PPrel","activation"
"23","hsa:8674","hsa:143187","PPrel","activation"
"24","hsa:6843","hsa:8773","PPrel","activation"
"25","hsa:6843","hsa:112755","PPrel","activation"
"26","hsa:6843","hsa:2054","PPrel","activation"
"27","hsa:6843","hsa:6804","PPrel","activation"
"28","hsa:6843","hsa:6809","PPrel","activation"
"29","hsa:6843","hsa:6810","PPrel","activation"
"36","hsa:9341","hsa:8773","PPrel","activation"
"37","hsa:9341","hsa:112755","PPrel","activation"
"38","hsa:9341","hsa:2054","PPrel","activation"
"39","hsa:9341","hsa:6804","PPrel","activation"
"40","hsa:9341","hsa:6809","PPrel","activation"
"41","hsa:9341","hsa:6810","PPrel","activation"
