"","from","to","type","subtype"
"2","hsa:7317","hsa:6233","PPrel","binding/association"
"21","hsa:7317","hsa:7311","PPrel","binding/association"
"4","hsa:7317","hsa:7316","PPrel","binding/association"
"5","hsa:7318","hsa:6233","PPrel","binding/association"
"6","hsa:7318","hsa:7311","PPrel","binding/association"
"8","hsa:7318","hsa:7316","PPrel","binding/association"
"9","hsa:6233","hsa:6233","PPrel","binding/association"
"10","hsa:6233","hsa:7311","PPrel","binding/association"
"12","hsa:6233","hsa:7316","PPrel","binding/association"
"13","hsa:7311","hsa:6233","PPrel","binding/association"
"14","hsa:7311","hsa:7311","PPrel","binding/association"
"16","hsa:7311","hsa:7316","PPrel","binding/association"
"211","hsa:7316","hsa:6233","PPrel","binding/association"
"22","hsa:7316","hsa:7311","PPrel","binding/association"
"24","hsa:7316","hsa:7316","PPrel","binding/association"
"25","hsa:7332","hsa:6233","PPrel","binding/association"
"26","hsa:7332","hsa:7311","PPrel","binding/association"
"28","hsa:7332","hsa:7316","PPrel","binding/association"
"29","hsa:9246","hsa:6233","PPrel","binding/association"
"30","hsa:9246","hsa:7311","PPrel","binding/association"
"32","hsa:9246","hsa:7316","PPrel","binding/association"
"80","hsa:11315","hsa:598","PPrel","missing interaction"
"81","hsa:11315","hsa:4780","PPrel","missing interaction"
"82","hsa:11315","hsa:1616","PPrel","missing interaction"
"83","hsa:11315","hsa:4217","PPrel","missing interaction"
"86","hsa:65018","hsa:374291","PPrel","inhibition"
"94","hsa:65018","hsa:4694","PPrel","inhibition"
"95","hsa:65018","hsa:4695","PPrel","inhibition"
"96","hsa:65018","hsa:4696","PPrel","inhibition"
"97","hsa:65018","hsa:4697","PPrel","inhibition"
"99","hsa:65018","hsa:4700","PPrel","inhibition"
"100","hsa:65018","hsa:4701","PPrel","inhibition"
"101","hsa:65018","hsa:4702","PPrel","inhibition"
"103","hsa:65018","hsa:4705","PPrel","inhibition"
"104","hsa:65018","hsa:4706","PPrel","inhibition"
