"","from","to","type","subtype"
"2","hsa:4792","hsa:4790","PPrel","dissociation"
"21","hsa:4792","hsa:5970","PPrel","dissociation"
"3","hsa:4793","hsa:4790","PPrel","dissociation"
"4","hsa:4793","hsa:5970","PPrel","dissociation"
"5","hsa:4794","hsa:4790","PPrel","dissociation"
"6","hsa:4794","hsa:5970","PPrel","dissociation"
"7","hsa:3551","hsa:4792","PPrel","phosphorylation"
"8","hsa:3551","hsa:4793","PPrel","phosphorylation"
"9","hsa:3551","hsa:4794","PPrel","phosphorylation"
"10","hsa:10892","hsa:8517","PPrel","activation"
"11","hsa:10892","hsa:8517","PPrel","ubiquitination"
"12","hsa:8915","hsa:8517","PPrel","activation"
"13","hsa:8915","hsa:8517","PPrel","ubiquitination"
"14","hsa:84433","hsa:8517","PPrel","activation"
"15","hsa:84433","hsa:8517","PPrel","ubiquitination"
"16","hsa:10000","hsa:2932","PPrel","inhibition"
"17","hsa:10000","hsa:2932","PPrel","phosphorylation"
"18","hsa:10000","hsa:3551","PPrel","phosphorylation"
"19","hsa:10000","hsa:8517","PPrel","phosphorylation"
"20","hsa:10000","hsa:1147","PPrel","phosphorylation"
"211","hsa:207","hsa:2932","PPrel","inhibition"
"22","hsa:207","hsa:2932","PPrel","phosphorylation"
"23","hsa:207","hsa:3551","PPrel","phosphorylation"
"24","hsa:207","hsa:8517","PPrel","phosphorylation"
"25","hsa:207","hsa:1147","PPrel","phosphorylation"
"26","hsa:208","hsa:2932","PPrel","inhibition"
"27","hsa:208","hsa:2932","PPrel","phosphorylation"
"28","hsa:208","hsa:3551","PPrel","phosphorylation"
"29","hsa:208","hsa:8517","PPrel","phosphorylation"
"30","hsa:208","hsa:1147","PPrel","phosphorylation"
"31","hsa:5579","hsa:84433","PPrel","activation"
"32","hsa:5579","hsa:84433","PPrel","phosphorylation"
"33","hsa:10451","hsa:29760","PPrel","binding/association"
"34","hsa:10451","hsa:5879","PPrel","activation"
"36","hsa:10451","hsa:5881","PPrel","activation"
"37","hsa:7409","hsa:29760","PPrel","binding/association"
