"","from","to","type","subtype"
"2","hsa:5290","hsa:6517","PPrel","indirect effect"
"21","hsa:5290","hsa:2475","PPrel","indirect effect"
"3","hsa:5290","hsa:5590","PPrel","indirect effect"
"4","hsa:5291","hsa:6517","PPrel","indirect effect"
"5","hsa:5291","hsa:2475","PPrel","indirect effect"
"6","hsa:5291","hsa:5590","PPrel","indirect effect"
"7","hsa:5293","hsa:6517","PPrel","indirect effect"
"8","hsa:5293","hsa:2475","PPrel","indirect effect"
"9","hsa:5293","hsa:5590","PPrel","indirect effect"
"10","hsa:5295","hsa:6517","PPrel","indirect effect"
"11","hsa:5295","hsa:2475","PPrel","indirect effect"
"12","hsa:5295","hsa:5590","PPrel","indirect effect"
"13","hsa:5296","hsa:6517","PPrel","indirect effect"
"14","hsa:5296","hsa:2475","PPrel","indirect effect"
"15","hsa:5296","hsa:5590","PPrel","indirect effect"
"16","hsa:8503","hsa:6517","PPrel","indirect effect"
"17","hsa:8503","hsa:2475","PPrel","indirect effect"
"18","hsa:8503","hsa:5590","PPrel","indirect effect"
"19","hsa:3667","hsa:5290","PPrel","activation"
"20","hsa:3667","hsa:5291","PPrel","activation"
"211","hsa:3667","hsa:5293","PPrel","activation"
"22","hsa:3667","hsa:5295","PPrel","activation"
"23","hsa:3667","hsa:5296","PPrel","activation"
"24","hsa:3667","hsa:8503","PPrel","activation"
"25","hsa:3643","hsa:3667","PPrel","activation"
"26","hsa:3643","hsa:8471","PPrel","activation"
"27","hsa:3643","hsa:8660","PPrel","activation"
"28","hsa:3643","hsa:5594","PPrel","indirect effect"
"29","hsa:3643","hsa:5595","PPrel","indirect effect"
"31","hsa:122809","hsa:3667","PPrel","inhibition"
"32","hsa:122809","hsa:8471","PPrel","inhibition"
"33","hsa:122809","hsa:8660","PPrel","inhibition"
"34","hsa:122809","hsa:3643","PPrel","inhibition"
"35","hsa:8651","hsa:3667","PPrel","inhibition"
"36","hsa:8651","hsa:8471","PPrel","inhibition"
"37","hsa:8651","hsa:8660","PPrel","inhibition"
"38","hsa:8651","hsa:3643","PPrel","inhibition"
"39","hsa:8835","hsa:3667","PPrel","inhibition"
"40","hsa:8835","hsa:8471","PPrel","inhibition"
"41","hsa:8835","hsa:8660","PPrel","inhibition"
"42","hsa:8835","hsa:3643","PPrel","inhibition"
"43","hsa:9021","hsa:3667","PPrel","inhibition"
"44","hsa:9021","hsa:8471","PPrel","inhibition"
"45","hsa:9021","hsa:8660","PPrel","inhibition"
"46","hsa:9021","hsa:3643","PPrel","inhibition"
"47","hsa:5594","hsa:3667","PPrel","indirect effect"
"48","hsa:5594","hsa:8471","PPrel","indirect effect"
"49","hsa:5594","hsa:8660","PPrel","indirect effect"
"50","hsa:5595","hsa:3667","PPrel","indirect effect"
"51","hsa:5595","hsa:8471","PPrel","indirect effect"
"52","hsa:5595","hsa:8660","PPrel","indirect effect"
"53","hsa:9370","hsa:6517","PPrel","indirect effect"
"54","hsa:3551","hsa:3667","PPrel","inhibition"
"55","hsa:3551","hsa:3667","PPrel","phosphorylation"
"56","hsa:3551","hsa:8471","PPrel","inhibition"
"57","hsa:3551","hsa:8471","PPrel","phosphorylation"
"58","hsa:3551","hsa:8660","PPrel","inhibition"
"59","hsa:3551","hsa:8660","PPrel","phosphorylation"
"60","hsa:5580","hsa:3667","PPrel","inhibition"
"61","hsa:5580","hsa:3667","PPrel","phosphorylation"
"62","hsa:5580","hsa:8471","PPrel","inhibition"
"63","hsa:5580","hsa:8471","PPrel","phosphorylation"
"64","hsa:5580","hsa:8660","PPrel","inhibition"
"65","hsa:5580","hsa:8660","PPrel","phosphorylation"
"66","hsa:5581","hsa:3667","PPrel","inhibition"
"67","hsa:5581","hsa:3667","PPrel","phosphorylation"
"68","hsa:5581","hsa:8471","PPrel","inhibition"
"69","hsa:5581","hsa:8471","PPrel","phosphorylation"
"70","hsa:5581","hsa:8660","PPrel","inhibition"
"71","hsa:5581","hsa:8660","PPrel","phosphorylation"
"73","hsa:8471","hsa:5290","PPrel","activation"
"74","hsa:8471","hsa:5291","PPrel","activation"
"75","hsa:8471","hsa:5293","PPrel","activation"
"76","hsa:8471","hsa:5295","PPrel","activation"
"77","hsa:8471","hsa:5296","PPrel","activation"
"78","hsa:8471","hsa:8503","PPrel","activation"
"79","hsa:8660","hsa:5290","PPrel","activation"
"80","hsa:8660","hsa:5291","PPrel","activation"
"81","hsa:8660","hsa:5293","PPrel","activation"
"82","hsa:8660","hsa:5295","PPrel","activation"
"83","hsa:8660","hsa:5296","PPrel","activation"
"84","hsa:8660","hsa:8503","PPrel","activation"
"85","hsa:5599","hsa:3667","PPrel","inhibition"
"86","hsa:5599","hsa:3667","PPrel","phosphorylation"
"87","hsa:5599","hsa:8471","PPrel","inhibition"
"88","hsa:5599","hsa:8471","PPrel","phosphorylation"
"89","hsa:5599","hsa:8660","PPrel","inhibition"
"90","hsa:5599","hsa:8660","PPrel","phosphorylation"
"91","hsa:5601","hsa:3667","PPrel","inhibition"
"92","hsa:5601","hsa:3667","PPrel","phosphorylation"
"93","hsa:5601","hsa:8471","PPrel","inhibition"
"94","hsa:5601","hsa:8471","PPrel","phosphorylation"
"95","hsa:5601","hsa:8660","PPrel","inhibition"
"96","hsa:5601","hsa:8660","PPrel","phosphorylation"
"97","hsa:5602","hsa:3667","PPrel","inhibition"
"98","hsa:5602","hsa:3667","PPrel","phosphorylation"
"99","hsa:5602","hsa:8471","PPrel","inhibition"
"100","hsa:5602","hsa:8471","PPrel","phosphorylation"
"101","hsa:5602","hsa:8660","PPrel","inhibition"
"102","hsa:5602","hsa:8660","PPrel","phosphorylation"
"103","hsa:5590","hsa:3667","PPrel","inhibition"
"104","hsa:5590","hsa:3667","PPrel","phosphorylation"
"105","hsa:5590","hsa:8471","PPrel","inhibition"
"106","hsa:5590","hsa:8471","PPrel","phosphorylation"
"107","hsa:5590","hsa:8660","PPrel","inhibition"
"108","hsa:5590","hsa:8660","PPrel","phosphorylation"
"109","hsa:7124","hsa:3551","PPrel","indirect effect"
"110","hsa:7124","hsa:5599","PPrel","indirect effect"
"111","hsa:7124","hsa:5601","PPrel","indirect effect"
"112","hsa:7124","hsa:5602","PPrel","indirect effect"
"113","hsa:7124","hsa:2475","PPrel","indirect effect"
"120","hsa:2645","hsa:5313","PPrel","indirect effect"
"121","hsa:2645","hsa:5315","PPrel","indirect effect"
"122","hsa:3098","hsa:5313","PPrel","indirect effect"
"123","hsa:3098","hsa:5315","PPrel","indirect effect"
"124","hsa:3099","hsa:5313","PPrel","indirect effect"
"125","hsa:3099","hsa:5315","PPrel","indirect effect"
"126","hsa:3101","hsa:5313","PPrel","indirect effect"
"127","hsa:3101","hsa:5315","PPrel","indirect effect"
"128","hsa:80201","hsa:5313","PPrel","indirect effect"
"129","hsa:80201","hsa:5315","PPrel","indirect effect"
"130","hsa:2475","hsa:3667","PPrel","inhibition"
"131","hsa:2475","hsa:3667","PPrel","phosphorylation"
"132","hsa:2475","hsa:8471","PPrel","inhibition"
"133","hsa:2475","hsa:8471","PPrel","phosphorylation"
"134","hsa:2475","hsa:8660","PPrel","inhibition"
"135","hsa:2475","hsa:8660","PPrel","phosphorylation"
"137","hsa:3767","hsa:773","PPrel","indirect effect"
"138","hsa:3767","hsa:774","PPrel","indirect effect"
"139","hsa:3767","hsa:775","PPrel","indirect effect"
"140","hsa:3767","hsa:776","PPrel","indirect effect"
"141","hsa:3767","hsa:777","PPrel","indirect effect"
"142","hsa:3767","hsa:8913","PPrel","indirect effect"
"143","hsa:6833","hsa:773","PPrel","indirect effect"
"144","hsa:6833","hsa:774","PPrel","indirect effect"
"145","hsa:6833","hsa:775","PPrel","indirect effect"
"146","hsa:6833","hsa:776","PPrel","indirect effect"
"147","hsa:6833","hsa:777","PPrel","indirect effect"
"148","hsa:6833","hsa:8913","PPrel","indirect effect"
